Name,Downforce,Overtaking,Suspension,Fuel (5),Tyre Wear,Lap Length,Laps,Distance,P (10),H,A,Avg. Speed,Note,Corners (15),Pit I/O,Grip,col_18,Wings (19),Engine,Brakes,Gear,Suspension,col_24,WS (25),col_26,L/km (27),L/km (wet),col_29,Wear (30),col_31,Cha (32),Eng,FW,RW,UndB,SidP,Coo,GeaB,Bra,Sus,Ele
A1-Ring,Low,Easy,Medium,High,Medium,4.325,71,307.1,13,8,9,226.29,,9,21,Low,,249.22,714.42,676.29,789.1,511.89,,141.46,,0.875,0.7829,,0.89211,,28.364,50.049,20.163,21.196,20.947,24.105,18.278,35.533,41.422,26.859,21.234
Adelaide,Medium,Hard,Medium,Low,Medium,3.78,79,298.6,8,9,10,190.87,,12,19.5,Low,,631.9,496.9,358.33,549.99,652.05,,79.46,,0.80699,0.67738,,0.94557,,37.701,19.199,39.871,46.941,42.558,25.695,29.996,29.09,23.684,14.93,21.454
Ahvenisto,High,Normal,Soft,Medium,High,3.04,80,243.2,5,10,7,148.42,,10,11.5,Normal,,993.04,466.54,699.74,766.1,240.15,,228.29049,,0.84548,0.796,,0.9336,,19.005,24.242,26.228,25.398,21.434,19.066,15.144,23.54,30.804,21.994,11.295
Anderstorp,Low,Very Hard,Soft,High,Medium,4.026,70,281.8,9,11,9,203.49,,10,13.5,Low,,250.72,699.88,769.29,611.18,107.05,,75.3197,,0.90418,0.785,,0.971,,24.057,49.52,19.009,17.682,41.683,26.54,14.497,40.326,51.839,20.752,12.062
Austin,Medium,Easy,Hard,Medium,Medium,5.516,56,308.9,11,18,10,190.53,,20,17.5,High,,521.56,605.59,608.9,640.62,786.9,,173.6,,0.86169,0.752,,1.00374,,17.437,36.613,28.306,28.365,19.711,18.619,19.176,29.87,35.687,15.265,15.166
Avus,Low,Easy,Hard,Very High,Low,4.88,64,312.3,22,3,9,285.89,,4,13,Normal,,302.564785,636.2622803,412.398,387.41,821.34,,103.2451,,0.90563,0,,1.18641,,29.641,82.948,16.89,18.291,35.857,17.695,19.192,26.277,23.155,58.773,21.23
Baku City,Medium,Easy,Hard,High,Very High,6.006,51,306.3,18,8,16,211.45,,20,17,High,,362.0814021,615.5639744,611.02,706,716.97,,96.7099,,0.89345,0,,1.00055,,20.6,57.51,19.98,21.81,18.45,23.86,17.28,26.63,46.2,18.92,14.28
Barcelona,Medium,Hard,Soft,High,Medium,4.728,65,307.3,11,13,8,217.02,,16,21,Low,,457.87,673.95,503.46,676.11,315.93,,140.56392,,0.874,0,,1.0933,,26.337,56.326,42.815,50.242,32.36,23.23,22.654,34.648,51.347,40.249,19.984
Brands Hatch,Medium,Normal,Medium,Low,Low,4.207,75,315.5,10,12,8,211.02,,12,25.5,Normal,,475.32,647.54495,386.69197,709.39821,641.46833,,121.09563,,0.83052,0.63566,,1.04047,,11.226,31.312,19.867,24.586,27.84,15.258,12.634,21.206,38.032,38.167,19.267
Brasilia,Medium,Hard,Hard,High,Medium,5.475,55,301.1,16,15,7,206.08,,12,13.5,Normal,,577.88029,409.23081,697.755,849.605,784.06,,46.68976,,0.89108,0.62207,,1.04035,,19.535,38.858,25.23,30.878,20.553,18.98,21.956,32.389,44.362,20.66,17.342
Bremgarten,Medium,Normal,Medium,Medium,Medium,7.281,42,305.8,8,26,17,257.04,,16,17,Low,,713.7,594.03,589.41,697.91,539.29,,138.55358,,0.858,0,,1.0813,,38.557,21.319,19.579,18.667,43.388,31.769,13.817,35.362,30.61,42.353,11.939
Brno,Medium,Easy,Medium,Medium,High,5.404,57,308,12,12,14,207.14,,15,14,Normal,,489.73,515.49,378.53,555.53,490.25,,73.58322,,0.83238,0.70154,,0.98793,,26.354,44.572,28.761,23.715,28.541,27.064,25.519,31.263,35.515,28.316,20.386
Bucharest Ring,Low,Easy,Hard,Very High,Low,3.071,80,245.7,8,6,8,146.34,,14,24,Normal,,269.73,654.11,711.39,593.83,744.57,,77.48096,,0.9118,0.77063,,0.9947,,27.736,60.353,27.626,30.114,36.688,25.61,21.076,43.326,54.418,31.362,25.188
Buenos Aires,High,Very Hard,Hard,Very Low,High,4.258,72,306.6,12,11,9,185.31,,16,19.5,Normal,,901.29277,516.57393,272.05175,654.41483,706.34042,,190.07916,,0.78529,0.57204,,0.9795,,30.501,53.566,23.704,29.801,21.514,18.41,25.458,56.631,71.4,50.261,20.256
Estoril,Medium,Normal,Medium,Medium,Medium,4.36,70,305.2,11,8,14,221.29,,13,22.5,Low,,438.52,652.28,302.24,705,575.42,,79.46,,0.83787,0.71482,,1.05901,,22.176,50.824,29.567,24.938,28.032,19.577,14.875,37.582,43.713,33.955,13.844
Fiorano,Medium,Normal,Hard,Very High,High,3.02,79,238.6,8,6,7,183.62,,14,16.5,Low,,449.29,619.66,301.15,374.52,895.1,,99.31144,,0.9327,0.872,,0.95633,,28.042,44.724,28.028,31.005,23.742,19.573,22.703,36.521,46.853,32.295,22.805
Fuji,Low,Easy,Medium,Medium,Medium,4.558,67,305.4,13,11,8,191.99,,16,18.5,Normal,,271.38,590.54,633.87,689.16,500.84,,117.72,,0.84907,0.62276,,0.976,,31.615,36.674,20.213,23.61,23.731,22.876,31.198,27.717,52.084,21.954,20.201
Grobnik,Medium,Hard,Medium,Low,Medium,4.168,74,308.4,8,15,7,0,,15,13,Normal,,646.1931602,384.3699617,524.55,768.66,500.29,,128.81999,,0.82236,0,,1.03798,,30.622697948718,32.490054871795,21.910673589744,20.539340769231,22.98184974359,29.012713333333,26.165746410256,36.009474358974,20.851193333333,41.45772025641,17.976859230769
Hockenheim,Medium,Normal,Soft,High,Medium,4.573,67,306.4,12,9,11,238.22,,12,16.5,High,,444.92,647.63,329.61,789.21,291.96,,-98.19578,,0.8693,0.899,,0.96074,,29.559,61.446,21.081,23.004,23.906,19.979,20.596,36.726,50.179,26.147,17.552
Hungaroring,High,Very Hard,Medium,Very Low,Very Low,3.968,77,305.5,7,10,13,190.61,,14,16.5,Very High,,853.49,439.1,571.56,434.45,416.73,,62.5325,,0.76568,0.649,,1.06388,,25.364,35.665,76.042,69.27,35.476,18.675,15.206,48.394,31.478,52.329,12.683
Imola,Medium,Hard,Medium,Medium,Medium,4.929,62,305.6,12,13,9,215.41,,16,12,Low,,459.77,599.72,672.31,615.44,455.84,,19.18066,,0.85572,0.6079,,1.0555,,23.243,40.444,39.13,42.268,32.053,18.018,20.619,38.267,47.407,38.536,19.735
Indianapolis,Low,Easy,Medium,High,Medium,4.2,73,306.6,10,9,11,208.47,,13,25.5,High,,207.55,706.52,465.52,648.5,518.59,,-35,,0.893,0,,1.01319,,46.166,59.601,27.554,33.988,40.731,37.433,18.05,46.732,53.591,52.024,15.316
Indianapolis Oval,Low,Very Easy,Soft,Very High,Low,4.022,80,321.8,17,9,2,408.42,,4,45,Low,,-58.62,730.49,21.69,901.36,304.75,,67.6,,0.9042,0.749,,0.9953,,28.953,104.06,17.516,20.808,34.491,22.377,26.346,16.671,11.849,31.394,18.808
Interlagos,Medium,Normal,Soft,Medium,Medium,4.308,71,305.9,12,9,10,217.49,,14,18,High,,460.91,578.03,555.34,568.26,318.88,,-26.26585,,0.84916,0.68533,,1.04207,,39.753,54.075,31.631,23.777,45.928,23.305,21.238,32.317,57.65,40.907,19.765
Irungattukottai,Medium,Easy,Medium,Medium,High,3.716,79,293.6,8,12,7,168.61,,12,14,High,,680.12,470.29,626.79,620.22,536.55,,13.94601,,0.84115,0,,0.97159,,27.621,49.493,43.476,41.082,36.095,32.405,35.083,44.109,52.299,34.093,20.332
Istanbul,Medium,Normal,Medium,Medium,Medium,5.334,58,309.4,13,10,14,227.29,,14,16,High,,387.85,544.46,700.97,543.97,636.53,,118.92,,0.85599,0.694,,1.11647,,27.298,29.743,17.294,19.402,20.073,20.844,26.819,21.299,44.756,19.764,17.078
Jerez,Medium,Hard,Soft,High,Very High,4.441,69,306.4,8,16,8,199.89,,14,18,Low,,717.6,608.07,626.86,701.3,321.26,,143.32667,,0.889,0.6178,,0.9,,36.689,57.136,38.05,41.693,34.457,29.924,20.889,32.791,50.799,47.78,23.664
Jyllands-Ringen,High,Normal,Medium,Low,High,2.3,80,184,5,9,4,0,,20,19.5,Normal,,769.6553582,414.1254178,556.76,743.56,524.72,,106.92562,,0.82602,0,,0.98582,,13.52,21.75,28.74,27.26,12.18,10.82,9.4,23.12,33,14.91,13.35
Kaunas,Medium,Normal,Medium,Medium,High,3.301,80,264.1,9,10,5,181.6,,10,11,Low,,387.37,635.17,515.42,685,362.96,,91.1,,0.8461,0.76485,,1.0395,,24.485,41.33,29.171,25.863,30.548,20.883,14.687,21.75,13.329,44.143,13.049
Kyalami,High,Hard,Hard,Very Low,Medium,4.261,72,306.8,9,12,9,231.38,,14,15,Very Low,,777.15,534.3,557.47,528.95,749.84,,206.85,,0.80158,0,,1.02227,,23.079,33,35.7,39.813,20.624,18.513,32.57,46.158,28.459,24.411,21.705
Laguna Seca,Medium,Easy,Soft,Very High,High,3.601,79,284.5,11,8,7,180.7,,11,16.7,Very Low,,481.06,401.03,585.51,619.45,50.81,,54.38,,0.902,0.751,,1.015,,30.149,37.567,26.36,17.552,17.188,15.804,24.429,39.461,43.062,34.92,9.33
Magny Cours,Medium,Hard,Medium,Medium,Medium,4.247,72,305.8,12,8,11,208.84,,14,18,High,,453.62,564.81,294.88,588.24,560.43,,147.77,,0.865,0,,0.94099,,23.462,42.803,29.122,25.744,27.428,20.764,21.248,34.838,48.363,37.867,13.492
Melbourne,Medium,Hard,Soft,Medium,Medium,5.303,58,307.6,12,15,10,220.25,,17,16.5,Low,,403.36,619,614.44,757.14333,294.52333,,8.04333,,0.8553,0,,0.97952,,23.024,47.597,27.278,29.868,22.383,21.97,20.655,32.353,39.018,22.364,18.012
Mexico City,Medium,Hard,Soft,Low,Medium,4.42,69,305,13,12,7,224.8,,9,24,Normal,,632.08,700.96,470.54,671.13,323.13,,48.61914,,0.83532,0.68926,,0.99074,,12.708,24.4,16.455,14.552,20.387,14.083,19.797,31.901,13.536,38.081,17.139
Monte Carlo,High,Very Hard,Medium,Low,Medium,3.369,78,262.8,7,7,12,154.54,,19,18,Normal,,1024.73,373.43,471.04,374.23,494.38,,100.89447,,0.81411,0.621,,1.05986,,15.535,18.386,56.169,56.535,29.146,10.91,15.672,30.237,49.778,39.445,13.509
Montreal,Medium,Normal,Soft,Medium,Medium,4.42,69,305,12,7,13,209.95,,12,16.5,Very Low,,335.19099,677.81879,566.84333,718.10333,237.85,,-98.12526,,0.8553,0.7349,,1.0831,,27.567,48.184,28.371,18.38,26.637,19.905,14.689,38.855,51.207,45.236,14.348
Monza,Low,Easy,Medium,Very High,Medium,5.787,53,306.7,17,12,9,258.83,,13,25.5,Very Low,,124.19,735.83,495.997,868.17,610.97,,24.63581,,0.913,0,,1.0733,,28.948,55.714,19.443,14.827,26.672,23.467,18.019,42.241,51.805,28.46,19.818
Mugello,Medium,Hard,Medium,Medium,Medium,5.247,58,304.3,11,13,12,246.56,,14,13.5,High,,517.8840739,805.5440621,879.8361443,901.3416371,590.54,,-69.4,,0.8474,0.6958,,1.0235,,22.47,21.701,26.497,19.144,27.382,30.361,32.437,36.707,33.222,28.028,17.895
New Delhi,Medium,Normal,Soft,Medium,Very High,5.137,60,308.2,11,15,10,227.27,,16,19,Very Low,,649.99,556.92,556.38,720.3,150.9,,-97.64247,,0.83632,0.768,,1.03303,,26.943,45.639,37.833,32.683,24.351,16.206,20.758,33.693,45.596,41.58,13.046
Nurburgring,Medium,Normal,Soft,Very Low,Low,5.145,60,308.7,12,12,13,224.22,,16,15,Normal,,650.81,451.94,626.71,598,149.86,,244.16605,,0.799,0,,1.0645,,31.199,46.888,26.366,34.613,29.26,16.349,16.627,31.119,50.161,46.497,11.736
Oesterreichring,Medium,Easy,Medium,High,Medium,5.94,52,308.9,19,14,9,269.24,,11,21,Low,,442.09,675.58,496.59,729.98,508.34,,85.42,,0.86855,0.65293,,1.08664,,22.07,49.045,28.264,32.384,23.711,20.455,23.161,27.148,39.235,22.562,13.545
Paul Ricard,Medium,Easy,Medium,High,Very High,3.861,79,305,9,11,8,225.75,,11,19.5,Very High,,362.79,732.67,301.68,784.37,575.27,,182.33333,,0.89651,0.771,,1.09121,,29.268,59.916,28.35,36.553,32.316,16.347,19.744,30.907,50.353,25.541,12.8
Portimao,High,Easy,Soft,Medium,High,4.692,66,309.7,9,14,11,198.24,,18,15.5,Low,,784.36,392.27,486.5,490,295.42,,180.52475,,0.8361,0.7061,,1.0578,,24.205,21.994,24.174,26.233,45.303,22.012,21.427,23.003,33.1,48.734,18.417
Poznan,Medium,Hard,Medium,Low,Medium,4.083,75,306.2,7,14,8,214.42,,14,14,Normal,,742,546.01667,379.02333,718.46,529.96333,,182.04045,,0.82387,0,,1.08634,,29.635,41.165,34.024,40.394,36.138,29.957,25.524,31.239,33.66,26.075,21.884
Rafaela Oval,Low,Very Easy,Medium,Very High,High,4.736,67,317.3,18,10,6,299.89,,8,10,Normal,,86.6,645.37,144.79,781.23,354.81,,67.6,,0.90584,0.76945,,1.06418,,25.051,92.29,14.663,17.145,30.097,17.852,23.092,26.836,25.516,35.829,17.322
Sakhir,Low,Normal,Soft,Very High,Medium,5.412,57,308.5,16,11,9,237.09,,14,25.5,Very High,,126.91,406.55,716.34,609.56,240.96,,-21.44472,,0.91198,0.7124,,1.10363,,27.168,59.892,33.037,25.882,26.282,30.852,36.212,30.798,36.118,35.283,17.693
Sepang,Medium,Normal,Medium,Medium,Medium,5.644,55,310.4,14,11,14,217.17,,17,24,Very High,,554,590.12333,653.687,746.34333,466.41,,24.6,,0.8422,0.6161,,0.9926,,25.275,44.985,32.811,26.302,32.939,18.283,31.829,36.602,43.17,26.006,18.791
Serres,High,Hard,Medium,Medium,Medium,3.186,80,254.9,5,10,9,197.95,,16,12,Normal,,927.25,414.83,503.01,477.94,522.69,,177,,0.86325,0,,0.92879,,24.934,30.625,25.175,27.54,24.224,20.047,23.065,34.234,28.933,29.658,20.6
Shanghai,Medium,Normal,Soft,Very High,Medium,5.45,56,305.2,9,16,15,217.18,,10,24,High,,416.43,529.77,641.35,354.61,114.21,,114.90394,,0.90522,0.67435,,1.05878,,20.675,57.895,34.115,39.605,35.047,28.213,26.74,38.844,43.939,48.878,18.482
Silverstone,Low,Normal,Medium,High,Low,5.138,60,308.3,11,11,16,225.46,,14,22.5,Normal,,283.41,699.48,590.85,823.25,415.1,,18.87335,,0.8693,0.681,,1.1123,,25.016,53.239,22.378,26.878,28.286,17.124,16.405,37.583,27.511,22.261,12.316
Singapore,High,Hard,Hard,Medium,High,5.067,61,309.1,7,11,17,214.84,,23,17,Low,,865.61,438.19,578.15,598.96,801.2,,202.04229,,0.854,0.55214,,1.04688,,29.444,22.243,34.674,30.374,34.035,23.699,29.268,29.455,45.579,26.95,25.68
Slovakiaring,Medium,Hard,Medium,High,High,5.923,53,313.9,17,10,15,219.95,,14,19.5,High,,735.82,439.66,609.73,491.45,431.92,,184.08431,,0.90685,0.79,,1.0652,,21.45,46.632,25.382,28.822,37.887,18.696,16.206,45.566,31.475,39.401,15.185
Sochi,Medium,Hard,Medium,Low,High,5.851,53,310.1,8,15,18,203.07,,19,23,Normal,,675.39,588.26,587.66,696.24,456.11,,137.97,,0.8404,0,,1.04166,,20.781,44.415,26.856,25.933,24.362,15.799,19.083,30.559,41.041,21.771,16.77
Spa,Medium,Normal,Medium,High,Medium,6.968,44,306.6,18,16,13,239,,22,13.5,Normal,,585.63902,716.49414,446.824,609.47063,372.54417,,50.39783,,0.88354,0.45191,,1.04803,,28.516,48.909,28.049,32.094,31.559,21.309,18.467,38.361,43.342,46.583,17.766
Suzuka,Medium,Hard,Medium,Medium,Medium,5.86,53,310.6,11,18,13,233.28,,14,15,Very High,,413.56,639.98,515.88,550.25,531.13,,47.11989,,0.857,0.5508,,1.0326,,17.353,33.579,22.037,28.97,23.435,15.56,14.46,37.835,29.293,31.751,15.141
Valencia,High,Hard,Medium,Medium,Medium,5.44,57,310.1,11,12,16,214.86,,25,14.5,Low,,837.83,445.95,657.26,652.58,335.82,,209.76,,0.84587,0.56,,0.95518,,26.294,26.261,45.893,45.888,21.529,31.125,16.203,26.08,31.921,36.84,21.256
Yas Marina,Medium,Hard,Medium,Low,Medium,5.555,55,305.5,12,10,17,214.71,,21,18.5,High,,730.05,459.7,557.69,476.1,419.98,,175.25105,,0.81167,0.70142,,0.95151,,22.651,15.013,34.763,39.489,28.349,21.121,28.907,35.284,41.026,30.026,20.787
Yeongam,High,Normal,Medium,Medium,High,5.622,55,309.2,11,15,13,213.67,,18,23.5,Normal,,781.67,480.86,719.53,689.5,420.63,,207.40934,,0.8365,0.7399,,1.0452,,28.45,43.179,30.23,33.696,20.648,22.435,23.28,25.362,33.09,27.452,19.007
Zandvoort,Medium,Normal,Hard,Low,Medium,4.251,71,301.8,9,13,9,230.5,,14,22.5,High,,551.15,653.24,415.91,779.13,709.95,,5.56542,,0.8402,0.583,,1.01818,,39.466,63.409,48.258,38.215,33.243,28.262,26.168,36.99,69.522,54.036,22.416
Zolder,Medium,Hard,Medium,Low,Medium,4.261,70,298.3,11,9,10,223.26,,17,19.5,Low,,669.24,616.83,466.06,628.62,539.48,,193.3,,0.82861,0.63653,,0.99094,,17.442,19.855,25.241,22.78,20.505,22.809,21.448,40.969,29.021,31.953,18.457
